EXPENDITURE,STO,PRICES,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,INSTR_ASSET,ACTIVITY,UNIT_MEASURE,TRANSFORMATION,TIME_FORMAT,REF_YEAR_PRICE,DECIMALS,TABLE_IDENTIFIER,UNIT_MULT,COMPILING_ORG,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2019,97941,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2020,107600,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2021,108412,a,F
cp011,p31,y,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,,0,t0501,6,gb1,2022,100756,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1995,7904,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1996,7893,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1997,7846,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1998,8320,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1999,9078,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2000,9531,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2001,10105,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2002,9993,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2003,10667,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2004,11125,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2005,11599,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2006,11550,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2007,11297,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2008,11366,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2009,11161,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2010,10566,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2011,10015,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2012,10248,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2013,9934,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2014,9735,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2015,9816,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2016,10203,a,F
cp012,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2017,10617,a,F
