Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
mx1,Instituto Nacional de Estadística Geografia e Informatica (INEGI) (Mexico),MX1,,442,
cv1,Instituto Nacional de Estatistica (Cape Verde),CV1,,443,
pt1,Instituto Nacional de Estatística (Portugal),PT1,,444,
sm2,Instituto di Credito Sammarinese / Central Bank (San Marino),SM2,,445,
5z90,Intergovernmental Council of Copper Exporting Countries,5Z90,,446,
1e0,International Bank for Reconstruction and Development,1E0,,447,
6z20,International Centre for Migration Policy Development,6Z20,,448,
5z100,International Civil Aviation Organization,5Z100,,449,
5z110,International Cocoa Organization,5Z110,,450,
5z120,International Coffee Organization,5Z120,,451,
5z130,International Copper Study Group,5Z130,,452,
5z140,International Cotton Advisory Committee,5Z140,,453,
1f0,International Development Association,1F0,,454,
sg3,International Enterprise Singapore,SG3,,455,
5z150,International Grains Council,5Z150,,456,
5z160,International Jute Study Group,5Z160,,457,
5z170,International Lead and Zinc Study Group,5Z170,,458,
5z180,International Maritime Organization,5Z180,,459,
5z190,International Maritime Satellite Organization,5Z190,,460,
5z200,International Olive Oil Council,5Z200,,461,
9a0,International Organisations excl. European Community Institutions (4Y),9A0,,462,
5z210,International Rubber Study Group,5Z210,,463,
5z220,International Sugar Organization,5Z220,,464,
7f0,International Union of Credit and Investment Insurers,7F0,,465,
1a0,International organisations,1A0,,466,
it1,Istituto Nazionale di Statistica (ISTAT) (Italy),IT1,,467,
it9,Istituto di Studi e Analisi Economica (Italy),IT9,,468,
4t0,Joint Committee of the European Supervisory Authorities (ESAs),4T0,,469,
kr1,Korea National Statistical Office (KNSO),KR1,,470,
xk1,Kosovo agency of Statistics,XK1,,471,
de3,Kraftfahrt-Bundesamt (Germany),DE3,,472,
6a70,Latin American Association of Development Financing Institutions,6A70,,473,
5z240,Latin American Energy Organization,5Z240,,474,
5z250,Latin American Integration Association,5Z250,,475,
5z230,Latin American and the Caribbean Economic System,5Z230,,476,
5z260,League of Arab States,5Z260,,477,
lt1,"Lithuania, Department of Statistics",LT1,,478,
mt6,MFSA (Malta Financial Services Authority),MT6,,479,
1n0,MIGA (Multilateral Investment Guarantee Agency),1N0,,480,
mv2,Maldives Monetary Authority (Maldives),MV2,,481,
mt98,Malta International Airport,MT98,,482,
mt97,Malta Maritime Authority,MT97,,483,
fr3,"Ministere de l Equipement, des Transports et du Logement (France)",FR3,,484,
bf4,Ministere de l'Economie et des Finances  (Burkina Faso),BF4,,485,
dj4,Ministere de l'Economie et des Finances (Djibouti),DJ4,,486,
gn4,Ministere de l'Economie et des Finances (Guinea),GN4,,487,
gw4,Ministere de l'Economie et des Finances (Guinea-Bissau),GW4,,488,
