Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f2t4s,Short-term liabilities,F2T4S,,391,F2T4S=F2+F31+F41
f4a291,Student long-term loans,F4A291,,392,
n21123,Surface water used for aquaculture,N21123,,393,
f712c,Swaps,F712C,,394,
n11322g,Telecommunications equipment (gross),N11322G,,395,
n11322n,Telecommunications equipment (net),N11322N,,396,
f_ng,Total assets/liabilities (financial and gross non-financial),F_NG,,397,F_NG=F+NG
f_nn,Total assets/liabilities (financial and net non-financial),F_NN,,398,F_NN=F+NN
n11kg,Total construction (Buildings and structures) (gross),N11KG,,399,N11KG=N111G+N112G
n11kn,Total construction (Buildings and structures) (net),N11KN,,400,N11KN=N111N+N112N
f,Total financial assets/liabilities,F,,401,"F= F1+F2+F3+F4+F5+F6+F7+F8; In some data flow definitions the integrity rules are shown in a different format in order to explain to users their practical implementation. However, in none of the cases double counting is allowed."
fe,Total financial assets/liabilities (FDI): Extension of capital,FE,,402,FE=F5AE+F5BE+FLH
fg,Total financial assets/liabilities (FDI): Greenfield,FG,,403,FG=F5AG+F5BG+FLG
fx4,Total financial assets/liabilities other than loans,FX4,,404,FX4=F-F4
fgd,Total impact on gross debt,FGD,,405,FGD=FGDD+FGDI
f81a,Trade credits,F81A,,406,
f81,Trade credits and advances,F81,,407,F81=F81A+F81B
f81a2,Trade credits relating to D.7 current transfers,F81A2,,408,
f81a3,Trade credits relating to D.9 capital transfers,F81A3,,409,
f81a1,Trade credits relating to P.2 intermediate consumption and other,F81A1,,410,
f81a4,Trade credits relating to P.51 gross fixed capital formation,F81A4,,411,
f81ax,Trade credits relating to military equipment,F81AX,,412,
f22,Transferable deposits,F22,,413,F22=F221+F229
n1131g,Transport equipment (gross),N1131G,,414,
n1131n,Transport equipment (net),N1131N,,415,
n1152g,"Tree, crop and plant resources yielding repeat products (gross)",N1152G,,416,
n1152n,"Tree, crop and plant resources yielding repeat products (net)",N1152N,,417,
f11b,Unallocated gold accounts,F11B,,418,
f63o1,Unfunded Pension Plans,F63O1,,419,
n215un,Universal Mobile Telecommunications System (net),N215UN,,420,
